#               ********** YAUP 1.3.1 **********
#
# undulator :  period (cm) =   3.3   nper =  75   npts =   40
#
# photon energy range (eV) : emin =   7000.00   emax =  10000.00   ne =  201
#
# electron beam :  energy (GeV) =  7.000   current  (A) =   .100
#                  sigx  (mm)   =  .3420   sigy  (mm)   =  .0910
#                  sigx1 (mrad) =  .0240   sigy1 (mrad) =  .0090
#
# pinhole :  distance (m) =     .00
#            xpc  (mrad/mm) =   0.000   xps (mrad/mm) =    .000   nxp =    1
#            ypc  (mrad/mm) =   0.000   yps (mrad/mm) =    .000   nyp =    1
#
# parameters  :  mode  = 1   nsig =  2   itraj  = 1
#                ixsym = 1   nhan =  0
#
# B-field ditribution from file test.bf
#
# units : 
#   x, y             - mrad(mm)
#   energy           - eV
#   brightness       - ph/s/bandpass/mrad^2(/mm^2)
#   flux             - ph/s/bandpass
#   spectral power   - watts/eV/mrad^2(/mm^2)
#   power            - watts/mrad^2(/mm^2)
#
#
# Spectrum of the brightness at XPC,YPC.
#
#      energy        x            y          brightness     polarization
       8425.0     0.00000     0.00000       1.113323E+17       .99864
       8440.0     0.00000     0.00000       1.124603E+17       .99870
       8455.0     0.00000     0.00000       1.129454E+17       .99876
       8470.0     0.00000     0.00000       1.126142E+17       .99880
       8485.0     0.00000     0.00000       1.113672E+17       .99884
       8500.0     0.00000     0.00000       1.093065E+17       .99887
       8515.0     0.00000     0.00000       1.067093E+17       .99890
       8530.0     0.00000     0.00000       1.039514E+17       .99892
       8545.0     0.00000     0.00000       1.014375E+17       .99895
       8560.0     0.00000     0.00000       9.949802E+16       .99899
       8575.0     0.00000     0.00000       9.831272E+16       .99904
       8590.0     0.00000     0.00000       9.791257E+16       .99909
       8605.0     0.00000     0.00000       9.817717E+16       .99915
       8620.0     0.00000     0.00000       9.890026E+16       .99922
       8635.0     0.00000     0.00000       9.983582E+16       .99928
       8650.0     0.00000     0.00000       1.006665E+17       .99934
       8665.0     0.00000     0.00000       1.010215E+17       .99940
       8680.0     0.00000     0.00000       1.005098E+17       .99945
       8695.0     0.00000     0.00000       9.884784E+16       .99949
       8710.0     0.00000     0.00000       9.596559E+16       .99952
       8725.0     0.00000     0.00000       9.202520E+16       .99955
       8740.0     0.00000     0.00000       8.742674E+16       .99958
       8755.0     0.00000     0.00000       8.265577E+16       .99960
       8770.0     0.00000     0.00000       7.810910E+16       .99962
       8785.0     0.00000     0.00000       7.397418E+16       .99964
       8800.0     0.00000     0.00000       7.013976E+16       .99967
       8815.0     0.00000     0.00000       6.629104E+16       .99969
       8830.0     0.00000     0.00000       6.209330E+16       .99971
       8845.0     0.00000     0.00000       5.735380E+16       .99972
       8860.0     0.00000     0.00000       5.216003E+16       .99973
       8875.0     0.00000     0.00000       4.686159E+16       .99973
       8890.0     0.00000     0.00000       4.190216E+16       .99973
       8905.0     0.00000     0.00000       3.762219E+16       .99974
       8920.0     0.00000     0.00000       3.414156E+16       .99975
       8935.0     0.00000     0.00000       3.133214E+16       .99976
       8950.0     0.00000     0.00000       2.885948E+16       .99977
       8965.0     0.00000     0.00000       2.640449E+16       .99977
       8980.0     0.00000     0.00000       2.379901E+16       .99978
       8995.0     0.00000     0.00000       2.108928E+16       .99977
       9010.0     0.00000     0.00000       1.848140E+16       .99977
       9025.0     0.00000     0.00000       1.623001E+16       .99977
       9040.0     0.00000     0.00000       1.450056E+16       .99977
       9055.0     0.00000     0.00000       1.326048E+16       .99977
       9070.0     0.00000     0.00000       1.231793E+16       .99978
       9085.0     0.00000     0.00000       1.143693E+16       .99978
       9100.0     0.00000     0.00000       1.045330E+16       .99978
       9115.0     0.00000     0.00000       9.346155E+15       .99978
       9130.0     0.00000     0.00000       8.219357E+15       .99977
       9145.0     0.00000     0.00000       7.238961E+15       .99976
       9160.0     0.00000     0.00000       6.528079E+15       .99975
       9175.0     0.00000     0.00000       6.095291E+15       .99976
       9190.0     0.00000     0.00000       5.819939E+15       .99976
       9205.0     0.00000     0.00000       5.539841E+15       .99976
       9220.0     0.00000     0.00000       5.159122E+15       .99976
       9235.0     0.00000     0.00000       4.667189E+15       .99975
       9250.0     0.00000     0.00000       4.141093E+15       .99974
       9265.0     0.00000     0.00000       3.712000E+15       .99973
       9280.0     0.00000     0.00000       3.453833E+15       .99973
       9295.0     0.00000     0.00000       3.332661E+15       .99973
       9310.0     0.00000     0.00000       3.264276E+15       .99974
       9325.0     0.00000     0.00000       3.159804E+15       .99974
       9340.0     0.00000     0.00000       2.967526E+15       .99973
       9355.0     0.00000     0.00000       2.706277E+15       .99972
       9370.0     0.00000     0.00000       2.446604E+15       .99971
       9385.0     0.00000     0.00000       2.257869E+15       .99969
       9400.0     0.00000     0.00000       2.166543E+15       .99969
       9415.0     0.00000     0.00000       2.143983E+15       .99970
       9430.0     0.00000     0.00000       2.126035E+15       .99970
       9445.0     0.00000     0.00000       2.066530E+15       .99970
       9460.0     0.00000     0.00000       1.945198E+15       .99969
       9475.0     0.00000     0.00000       1.785534E+15       .99968
       9490.0     0.00000     0.00000       1.646538E+15       .99966
       9505.0     0.00000     0.00000       1.565361E+15       .99965
       9520.0     0.00000     0.00000       1.540400E+15       .99965
       9535.0     0.00000     0.00000       1.541904E+15       .99965
       9550.0     0.00000     0.00000       1.534135E+15       .99965
       9565.0     0.00000     0.00000       1.489302E+15       .99965
       9580.0     0.00000     0.00000       1.405662E+15       .99964
       9595.0     0.00000     0.00000       1.309621E+15       .99963
       9610.0     0.00000     0.00000       1.234473E+15       .99961
       9625.0     0.00000     0.00000       1.195045E+15       .99960
       9640.0     0.00000     0.00000       1.186959E+15       .99959
       9655.0     0.00000     0.00000       1.190919E+15       .99959
       9670.0     0.00000     0.00000       1.187616E+15       .99959
       9685.0     0.00000     0.00000       1.155790E+15       .99959
       9700.0     0.00000     0.00000       1.093159E+15       .99958
       9715.0     0.00000     0.00000       1.026353E+15       .99957
       9730.0     0.00000     0.00000       9.766935E+14       .99955
       9745.0     0.00000     0.00000       9.541576E+14       .99953
       9760.0     0.00000     0.00000       9.608315E+14       .99952
       9775.0     0.00000     0.00000       9.766017E+14       .99953
       9790.0     0.00000     0.00000       9.754262E+14       .99953
       9805.0     0.00000     0.00000       9.439509E+14       .99953
       9820.0     0.00000     0.00000       8.912210E+14       .99951
       9835.0     0.00000     0.00000       8.387333E+14       .99949
       9850.0     0.00000     0.00000       8.044211E+14       .99945
       9865.0     0.00000     0.00000       8.008206E+14       .99944
       9880.0     0.00000     0.00000       8.190395E+14       .99944
       9895.0     0.00000     0.00000       8.366918E+14       .99945
       9910.0     0.00000     0.00000       8.326519E+14       .99946
       9925.0     0.00000     0.00000       7.957804E+14       .99946
       9940.0     0.00000     0.00000       7.439622E+14       .99943
       9955.0     0.00000     0.00000       6.990349E+14       .99938
       9970.0     0.00000     0.00000       6.835119E+14       .99935
       9985.0     0.00000     0.00000       7.011521E+14       .99934
      10000.0     0.00000     0.00000       7.281868E+14       .99936
