  0  0.000000e+00
  1  0.000000e+00
  2  0.000000e+00
  3  0.000000e+00
  4  0.000000e+00
  5  0.000000e+00
  6  0.000000e+00
  7  0.000000e+00
  8  0.000000e+00
  9  0.000000e+00
 10  5.596311e+00
 11  2.261209e+01
 12  7.026612e+01
 13  2.526674e+02
 14  5.894387e+02
 15  1.499159e+03
 16  2.790453e+03
 17  5.633810e+03
 18  9.136397e+03
 19  1.184541e+04
 20  1.502929e+04
 21  1.839821e+04
 22  2.216613e+04
 23  2.571090e+04
 24  2.953156e+04
 25  3.283841e+04
 26  3.598369e+04
 27  3.855059e+04
 28  4.110989e+04
 29  4.267480e+04
 30  4.428115e+04
 31  4.499715e+04
 32  4.577506e+04
 33  4.617384e+04
 34  4.656812e+04
 35  4.647358e+04
 36  4.623886e+04
 37  4.587904e+04
 38  4.545827e+04
 39  4.487673e+04
 40  4.426507e+04
 41  4.344860e+04
 42  4.267502e+04
 43  4.155749e+04
 44  4.047498e+04
 45  3.955274e+04
 46  3.856514e+04
 47  3.765271e+04
 48  3.673352e+04
 49  3.558038e+04
 50  3.439844e+04
 51  3.322492e+04
 52  3.204700e+04
 53  3.096411e+04
 54  2.985844e+04
 55  2.884245e+04
 56  2.781403e+04
 57  3.112101e+04
 58  3.445849e+04
 59  3.719960e+04
 60  3.986275e+04
 61  3.152597e+04
 62  2.305442e+04
 63  2.135288e+04
 64  1.961763e+04
 65  1.880830e+04
 66  1.790470e+04
 67  1.949993e+04
 68  2.111206e+04
 69  1.831296e+04
 70  1.526209e+04
 71  1.329276e+04
 72  1.126937e+04
 73  1.061702e+04
 74  9.892532e+03
 75  9.301969e+03
 76  8.803688e+03
 77  8.159658e+03
 78  7.440618e+03
 79  6.848584e+03
 80  5.963890e+03
 81  5.694172e+03
 82  5.071103e+03
 83  4.312159e+03
 84  3.770975e+03
 85  3.201971e+03
 86  2.647606e+03
 87  2.119246e+03
 88  1.580105e+03
 89  1.041832e+03
 90  5.090780e+02
 91  1.615933e+02
 92  0.000000e+00
 93  0.000000e+00
