 ****************** Start US v. 1.94 at 2014-11-25 22:45:33 ******************
 
 APS: DLSR H7BA 60 pm, Nb=48, coupling 100%, LS-337, M. Borland, 10/01/2013
 energy   6.000 GeV   current 200.0 mA   sige   0.0010000
 sigx    0.0074  mm   sigy   0.0109 mm   sigx1  0.0057 mr   sigy1  0.0038 mr
 period   2.700  cm   N          86      Kx      0.000      Ky      2.282
 emin    1000.0  eV   emax  50000.0 eV   ne      10000
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp         0      nyp         0
 mode         2       method      4      iharm       0   
 nphi        20       nalpha     40      calpha2   2.0
 nomega      64       comega    8.0      nsigma      4
 
 e1      3513.5  eV   l1      3.529  A
 ptot    8666.6   W   pd      239.5  W/mm^2
 
 
 Irradiance for   0.000 mm,  0.000 mm  @  30.000 m (ph/s/mm^2/0.1%bw):
 Integrated flux  density  7.430E+16 ph/s/mm^2
 Integrated power density      168.2 W/mm^2
 Contributing harmonics    1 to   14
 
 Energy(eV)   Irradiance          p1      p2      p3      p4
   1431.200   0.000000E+00     0.000   0.000   0.000   0.000
   1436.100   0.000000E+00     0.000   0.000   0.000   0.000
   1441.000   0.000000E+00     0.000   0.000   0.000   0.000
   1445.900   0.000000E+00     0.000   0.000   0.000   0.000
   1450.800   0.000000E+00     0.000   0.000   0.000   0.000
   1455.700   0.000000E+00     0.000   0.000   0.000   0.000
   1460.600   0.000000E+00     0.000   0.000   0.000   0.000
   1465.500   0.000000E+00     0.000   0.000   0.000   0.000
   1470.400   0.000000E+00     0.000   0.000   0.000   0.000
   1475.300   0.000000E+00     0.000   0.000   0.000   0.000
   1480.200   0.000000E+00     0.000   0.000   0.000   0.000
   1485.100   0.000000E+00     0.000   0.000   0.000   0.000
   1490.000   0.000000E+00     0.000   0.000   0.000   0.000
   1494.900   0.000000E+00     0.000   0.000   0.000   0.000
   1499.800   0.000000E+00     0.000   0.000   0.000   0.000
   1504.700   0.000000E+00     0.000   0.000   0.000   0.000
   1509.600   0.000000E+00     0.000   0.000   0.000   0.000
   1514.500   0.000000E+00     0.000   0.000   0.000   0.000
   1519.400   0.000000E+00     0.000   0.000   0.000   0.000
   1524.300   0.000000E+00     0.000   0.000   0.000   0.000
   1529.200   0.000000E+00     0.000   0.000   0.000   0.000
   1534.100   0.000000E+00     0.000   0.000   0.000   0.000
   1539.000   0.000000E+00     0.000   0.000   0.000   0.000
   1543.900   0.000000E+00     0.000   0.000   0.000   0.000
   1548.800   0.000000E+00     0.000   0.000   0.000   0.000
   1553.700   0.000000E+00     0.000   0.000   0.000   0.000
   1558.600   0.000000E+00     0.000   0.000   0.000   0.000
   1563.500   0.000000E+00     0.000   0.000   0.000   0.000
   1568.400   0.000000E+00     0.000   0.000   0.000   0.000
   1573.300   0.000000E+00     0.000   0.000   0.000   0.000
   1578.200   0.000000E+00     0.000   0.000   0.000   0.000
   1583.100   0.000000E+00     0.000   0.000   0.000   0.000
   1588.000   0.000000E+00     0.000   0.000   0.000   0.000
   1592.900   0.000000E+00     0.000   0.000   0.000   0.000
   1597.800   0.000000E+00     0.000   0.000   0.000   0.000
   1602.700   0.000000E+00     0.000   0.000   0.000   0.000
   1607.600   0.000000E+00     0.000   0.000   0.000   0.000
   1612.500   0.000000E+00     0.000   0.000   0.000   0.000
   1617.400   0.000000E+00     0.000   0.000   0.000   0.000
   1622.300   0.000000E+00     0.000   0.000   0.000   0.000
   1627.200   0.000000E+00     0.000   0.000   0.000   0.000
   1632.100   0.000000E+00     0.000   0.000   0.000   0.000
   1637.000   0.000000E+00     0.000   0.000   0.000   0.000
   1641.900   0.000000E+00     0.000   0.000   0.000   0.000
   1646.800   0.000000E+00     0.000   0.000   0.000   0.000
   1651.700   0.000000E+00     0.000   0.000   0.000   0.000
   1656.600   0.000000E+00     0.000   0.000   0.000   0.000
   1661.500   0.000000E+00     0.000   0.000   0.000   0.000
   1666.400   0.000000E+00     0.000   0.000   0.000   0.000
   1671.300   0.000000E+00     0.000   0.000   0.000   0.000
   1676.200   0.000000E+00     0.000   0.000   0.000   0.000
   1681.100   0.000000E+00     0.000   0.000   0.000   0.000
   1686.000   0.000000E+00     0.000   0.000   0.000   0.000
   1690.900   0.000000E+00     0.000   0.000   0.000   0.000
   1695.800   0.000000E+00     0.000   0.000   0.000   0.000
   1700.700   0.000000E+00     0.000   0.000   0.000   0.000
   1705.600   0.000000E+00     0.000   0.000   0.000   0.000
   1710.500   0.000000E+00     0.000   0.000   0.000   0.000
   1715.400   0.000000E+00     0.000   0.000   0.000   0.000
   1720.300   0.000000E+00     0.000   0.000   0.000   0.000
   1725.200   0.000000E+00     0.000   0.000   0.000   0.000
   1730.100   0.000000E+00     0.000   0.000   0.000   0.000
   1735.000   0.000000E+00     0.000   0.000   0.000   0.000
   1739.900   0.000000E+00     0.000   0.000   0.000   0.000
   1744.800   0.000000E+00     0.000   0.000   0.000   0.000
   1749.700   0.000000E+00     0.000   0.000   0.000   0.000
   1754.600   0.000000E+00     0.000   0.000   0.000   0.000
   1759.500   0.000000E+00     0.000   0.000   0.000   0.000
   1764.400   0.000000E+00     0.000   0.000   0.000   0.000
   1769.300   0.000000E+00     0.000   0.000   0.000   0.000
   1774.200   0.000000E+00     0.000   0.000   0.000   0.000
   1779.100   0.000000E+00     0.000   0.000   0.000   0.000
   1784.000   0.000000E+00     0.000   0.000   0.000   0.000
   1788.900   0.000000E+00     0.000   0.000   0.000   0.000
   1793.800   0.000000E+00     0.000   0.000   0.000   0.000
   1798.700   0.000000E+00     0.000   0.000   0.000   0.000
   1803.600   0.000000E+00     0.000   0.000   0.000   0.000
   1808.500   0.000000E+00     0.000   0.000   0.000   0.000
   1813.400   0.000000E+00     0.000   0.000   0.000   0.000
   1818.300   0.000000E+00     0.000   0.000   0.000   0.000
   1823.200   0.000000E+00     0.000   0.000   0.000   0.000
   1828.100   0.000000E+00     0.000   0.000   0.000   0.000
   1833.000   0.000000E+00     0.000   0.000   0.000   0.000
   1837.900   0.000000E+00     0.000   0.000   0.000   0.000
   1842.800   0.000000E+00     0.000   0.000   0.000   0.000
   1847.700   0.000000E+00     0.000   0.000   0.000   0.000
   1852.600   0.000000E+00     0.000   0.000   0.000   0.000
   1857.500   0.000000E+00     0.000   0.000   0.000   0.000
   1862.400   0.000000E+00     0.000   0.000   0.000   0.000
   1867.300   0.000000E+00     0.000   0.000   0.000   0.000
   1872.200   0.000000E+00     0.000   0.000   0.000   0.000
   1877.100   0.000000E+00     0.000   0.000   0.000   0.000
   1882.000   0.000000E+00     0.000   0.000   0.000   0.000
   1886.900   0.000000E+00     0.000   0.000   0.000   0.000
   1891.800   0.000000E+00     0.000   0.000   0.000   0.000
   1896.700   0.000000E+00     0.000   0.000   0.000   0.000
   1901.600   0.000000E+00     0.000   0.000   0.000   0.000
   1906.500   0.000000E+00     0.000   0.000   0.000   0.000
   1911.400   0.000000E+00     0.000   0.000   0.000   0.000
   1916.300   0.000000E+00     0.000   0.000   0.000   0.000
   1921.200   0.000000E+00     0.000   0.000   0.000   0.000
   1926.100   0.000000E+00     0.000   0.000   0.000   0.000
   1931.000   0.000000E+00     0.000   0.000   0.000   0.000
   1935.900   0.000000E+00     0.000   0.000   0.000   0.000
   1940.800   0.000000E+00     0.000   0.000   0.000   0.000
   1945.700   0.000000E+00     0.000   0.000   0.000   0.000
   1950.600   0.000000E+00     0.000   0.000   0.000   0.000
   1955.500   0.000000E+00     0.000   0.000   0.000   0.000
   1960.400   0.000000E+00     0.000   0.000   0.000   0.000
   1965.300   0.000000E+00     0.000   0.000   0.000   0.000
   1970.200   0.000000E+00     0.000   0.000   0.000   0.000
   1975.100   0.000000E+00     0.000   0.000   0.000   0.000
   1980.000   0.000000E+00     0.000   0.000   0.000   0.000
   1984.900   0.000000E+00     0.000   0.000   0.000   0.000
   1989.800   0.000000E+00     0.000   0.000   0.000   0.000
   1994.700   0.000000E+00     0.000   0.000   0.000   0.000
   1999.600   0.000000E+00     0.000   0.000   0.000   0.000
   2004.500   0.000000E+00     0.000   0.000   0.000   0.000
   2009.400   0.000000E+00     0.000   0.000   0.000   0.000
   2014.300   0.000000E+00     0.000   0.000   0.000   0.000
   2019.200   0.000000E+00     0.000   0.000   0.000   0.000
   2024.100   0.000000E+00     0.000   0.000   0.000   0.000
   2029.000   0.000000E+00     0.000   0.000   0.000   0.000
   2033.900   0.000000E+00     0.000   0.000   0.000   0.000
   2038.800   0.000000E+00     0.000   0.000   0.000   0.000
   2043.700   0.000000E+00     0.000   0.000   0.000   0.000
   2048.600   0.000000E+00     0.000   0.000   0.000   0.000
   2053.500   0.000000E+00     0.000   0.000   0.000   0.000
   2058.400   0.000000E+00     0.000   0.000   0.000   0.000
   2063.300   0.000000E+00     0.000   0.000   0.000   0.000
   2068.200   0.000000E+00     0.000   0.000   0.000   0.000
   2073.100   0.000000E+00     0.000   0.000   0.000   0.000
   2078.000   0.000000E+00     0.000   0.000   0.000   0.000
   2082.900   0.000000E+00     0.000   0.000   0.000   0.000
   2087.800   0.000000E+00     0.000   0.000   0.000   0.000
   2092.700   0.000000E+00     0.000   0.000   0.000   0.000
   2097.600   0.000000E+00     0.000   0.000   0.000   0.000
   2102.500   0.000000E+00     0.000   0.000   0.000   0.000
   2107.400   0.000000E+00     0.000   0.000   0.000   0.000
   2112.300   0.000000E+00     0.000   0.000   0.000   0.000
   2117.200   0.000000E+00     0.000   0.000   0.000   0.000
   2122.100   0.000000E+00     0.000   0.000   0.000   0.000
